All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    GCA_004170445.1_ASM417044v1_genomic  GCA_009771035.1_CNRS_Lalb_1.0_genomic  GCF_000001735.4_TAIR10.1_genomic  GCF_000004515.6_Glycine_max_v4.0_genomic  GCF_000331145.2_Cicar.CDCFrontier_v2.0_genomic  GCF_000715075.1_ASM71507v2_genomic  GCF_024323335.1_CAAS_Psat_ZW6_1.0_genomic  GCF_034140825.1_ASM3414082v1_genomic
# contigs (>= 0 bp)         29                                   89                                     7                                 284                                       6446                                            701                                 1566                                       15                                  
# contigs (>= 1000 bp)      29                                   89                                     7                                 283                                       6054                                            701                                 1566                                       15                                  
# contigs (>= 5000 bp)      29                                   89                                     7                                 278                                       1452                                            675                                 1415                                       14                                  
# contigs (>= 10000 bp)     29                                   89                                     7                                 273                                       726                                             657                                 1295                                       14                                  
# contigs (>= 25000 bp)     29                                   88                                     7                                 168                                       118                                             577                                 1037                                       14                                  
# contigs (>= 50000 bp)     29                                   85                                     7                                 124                                       46                                              470                                 585                                        14                                  
Total length (>= 0 bp)      2551684895                           450972408                              119668634                         978941695                                 530397290                                       3996226245                          3796066963                                 386337859                           
Total length (>= 1000 bp)   2551684895                           450972408                              119668634                         978940810                                 530173453                                       3996226245                          3796066963                                 386337859                           
Total length (>= 5000 bp)   2551684895                           450972408                              119668634                         978928946                                 521863550                                       3996147478                          3795568233                                 386335724                           
Total length (>= 10000 bp)  2551684895                           450972408                              119668634                         978895954                                 516835408                                       3996008557                          3794715929                                 386335724                           
Total length (>= 25000 bp)  2551684895                           450954566                              119668634                         977355682                                 507607581                                       3994605585                          3790117780                                 386335724                           
Total length (>= 50000 bp)  2551684895                           450841076                              119668634                         975640159                                 505364297                                       3990549814                          3773624727                                 386335724                           
# contigs                   29                                   89                                     7                                 284                                       6273                                            701                                 1566                                       15                                  
Largest contig              168161321                            23521228                               30427671                          58286270                                  79327772                                        234076584                           652929960                                  43929697                            
Total length                2551684895                           450972408                              119668634                         978941695                                 530342893                                       3996226245                          3796066963                                 386337859                           
GC (%)                      36.33                                33.71                                  36.06                             34.74                                     31.03                                           39.12                               37.94                                      43.72                               
N50                         137243429                            17349171                               23459830                          49893278                                  65803235                                        166564946                           523395090                                  31111469                            
N90                         109465566                            14546315                               18585056                          41531199                                  28684778                                        117149023                           463644500                                  27474823                            
auN                         130838930.2                          17047502.3                             24546704.0                        47821488.1                                60383203.3                                      166638237.8                         526359620.1                                32935562.1                          
L50                         9                                    12                                     3                                 10                                        4                                               11                                  4                                          6                                   
L90                         17                                   23                                     5                                 18                                        8                                               22                                  7                                          11                                  
# N's per 100 kbp           1037.48                              502.97                                 155.60                            2646.62                                   8976.62                                         3.55                                269.82                                     0.00                                
