All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50        N90        auN          L50  L90  # N's per 100 kbp
GCA_004170445.1_ASM417044v1_genomic             29                   29                      29                      29                       29                       29                       2551684895              2551684895                 2551684895                 2551684895                  2551684895                  2551684895                  29         168161321       2551684895    36.33   137243429  109465566  130838930.2  9    17   1037.48          
GCA_009771035.1_CNRS_Lalb_1.0_genomic           89                   89                      89                      89                       88                       85                       450972408               450972408                  450972408                  450972408                   450954566                   450841076                   89         23521228        450972408     33.71   17349171   14546315   17047502.3   12   23   502.97           
GCF_000001735.4_TAIR10.1_genomic                7                    7                       7                       7                        7                        7                        119668634               119668634                  119668634                  119668634                   119668634                   119668634                   7          30427671        119668634     36.06   23459830   18585056   24546704.0   3    5    155.60           
GCF_000004515.6_Glycine_max_v4.0_genomic        284                  283                     278                     273                      168                      124                      978941695               978940810                  978928946                  978895954                   977355682                   975640159                   284        58286270        978941695     34.74   49893278   41531199   47821488.1   10   18   2646.62          
GCF_000331145.2_Cicar.CDCFrontier_v2.0_genomic  6446                 6054                    1452                    726                      118                      46                       530397290               530173453                  521863550                  516835408                   507607581                   505364297                   6273       79327772        530342893     31.03   65803235   28684778   60383203.3   4    8    8976.62          
GCF_000715075.1_ASM71507v2_genomic              701                  701                     675                     657                      577                      470                      3996226245              3996226245                 3996147478                 3996008557                  3994605585                  3990549814                  701        234076584       3996226245    39.12   166564946  117149023  166638237.8  11   22   3.55             
GCF_024323335.1_CAAS_Psat_ZW6_1.0_genomic       1566                 1566                    1415                    1295                     1037                     585                      3796066963              3796066963                 3795568233                 3794715929                  3790117780                  3773624727                  1566       652929960       3796066963    37.94   523395090  463644500  526359620.1  4    7    269.82           
GCF_034140825.1_ASM3414082v1_genomic            15                   15                      14                      14                       14                       14                       386337859               386337859                  386335724                  386335724                   386335724                   386335724                   15         43929697        386337859     43.72   31111469   27474823   32935562.1   6    11   0.00             
